"","method","cindex(GSE9782)","ibs(GSE9782)","cindex(GSE2658)","ibs(GSE2658)"
"1","genes(genes)",0.618485217921365,0.348575359019299,0.624959202444886,0.144401273992828
"2","vax(grp)",0.652773544651021,0.334658966507626,0.653443313651604,0.143512608038202
"3","vax(ssgsea)",0.631895763486742,0.346709299114902,0.603625789989022,0.151253137073578
